CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
EMT 45 DEGREE ELBOWS,"1-1/2""",11.3,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 45 DEGREE ELBOWS,"2""",14.3,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 45 DEGREE ELBOWS,"2-1/2""",34.9,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 45 DEGREE ELBOWS,"3""",52.1,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 45 DEGREE ELBOWS,"3-1/2""",69.2,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 45 DEGREE ELBOWS,"4""",82,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,EMT 90 DEGREE ELBOWS,,,,,,,,
EMT 90 DEGREE ELBOWS,"1""",6.8,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"1-1/4""",8.46,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"1-1/2""",9.74,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"2""",14.3,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"2-/2""",34.9,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"3""",52.1,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"3-1/2""",69.2,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
EMT 90 DEGREE ELBOWS,"4""",82,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
CONDUIT WEIGHT PER 100 FEET (IN POUNDS),CONDUIT WEIGHT PER 100 FEET (IN POUNDS),,,,,,,,
INDENT EMT CONNECTORS,INDENT EMT CONNECTORS,,,,,,,,
INDENT EMT CONNECTORS,"1/2""",0.46,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
INDENT EMT CONNECTORS,"3/4""",0.82,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,DIE CAST SET SCREW EMT CONNECTORS,,,,,,,,
DIE CAST SET SCREW EMT CONNECTORS,"1/2""",0.28,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"3/4""",0.46,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"1""",0.86,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"1-1/4""",1.52,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"1-1/2""",2.07,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"2""",2.76,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"2-1/2""",6.25,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"3""",7.59,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"3-1/2""",9.01,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
DIE CAST SET SCREW EMT CONNECTORS,"4""",11.3,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,INSULATED DIE CAST SET SCREW EMT CONNECTORS,,,,,,,,
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"1/2""",0.46,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"3/4""",0.7,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
