SECURITY AND ALARM SYSTEMS,SECURITY AND ALARM SYSTEMS,,,,,,,,
SECURITY AND ALARM SYSTEMS,SECURITY AND ALARM SYSTEMS,,,,,,,,
SECURITY SYSTEM ULTRASONIC TRANSCEIVERS,High security,302,104,,2.02,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY SYSTEM ULTRASONIC TRANSCEIVERS,Standard security,125,104,,2.02,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY SYSTEM ULTRASONIC TRANSCEIVERS,"Microwave perimeter sensor, to 4 per zone",4850,200,,3.89,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,SECURITY CONTROL PANEL ACCESSORIES,,,,,,,,
SECURITY CONTROL PANEL ACCESSORIES,Tamper assembly for monitor cabinet,74.1,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Monitor panel blank,8.27,12.8,,0.249,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Audible alarm,86.9,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Audible alarm control,344,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,"Termination screw terminal cabinet, 25 pair",249,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,"Termination screw terminal cabinet, 50 pair",405,69.8,,1.36,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,"Termination screw terminal cabinet, 150 pair",659,177,,3.45,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Universal termination with remote test for cabinets and control panels,60.9,75.5,,1.47,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Universal termination without remote test,35.7,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,High security line supervision termination With remote test and tone,309,75.5,,1.47,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,With tone only,284,75.5,,1.47,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,"12"" door cord for capacitance sensor",9.5,12.8,,0.249,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Insulation block kit for capacitance sensor,47.4,50.8,,0.99,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,Termination block for capacitance sensor,10.1,12.8,,0.249,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,200 zone graphic display,4740,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
SECURITY CONTROL PANEL ACCESSORIES,210 zone multiplexer event recorder unit,4500,200,,3.89,,Ea,"E4: [$51.34] - (Laborer, Electrician)",E4
